mnemonic,all_households,owned_households,percent_owned
E05003345,837,632,75.5
E05003346,873,686,78.6
E05003347,829,665,80.2
E05003348,779,632,81.1
E05003349,734,461,62.8
E05003350,787,582,74
E05003351,2679,1965,73.3
E05003352,703,488,69.4
E05003353,934,718,76.9
E05003354,703,552,78.5
E05003355,1672,1256,75.1
E05003356,820,688,83.9
E05003357,704,480,68.2
E05003358,694,531,76.5
E05003359,1324,996,75.2
E05003360,2592,1861,71.8
E05003361,2571,1670,65
E05003362,712,575,80.8
E05003363,784,575,73.3
E05003364,799,548,68.6
E05003365,740,568,76.8
E05003366,2705,1953,72.2
E05010604,2355,1290,54.8
E05010605,1970,1660,84.3
E05010606,2243,1136,50.6
E05010607,2511,1513,60.3
E05010608,2967,2166,73
E05010609,1911,1335,69.9
E05010610,2191,1651,75.4
E05010611,2813,1806,64.2
E05010612,3973,2442,61.5
E05010613,1878,1552,82.6
E05010614,2124,1434,67.5
E05010615,3559,2088,58.7
E05010616,2235,1613,72.2
E05010617,3149,2430,77.2
E05010618,3533,2497,70.7
E05010619,2970,2081,70.1
E05010620,2007,1700,84.7
E05010621,2701,2246,83.2
E05010622,3252,2530,77.8
E05010623,871,517,59.4
E05010624,1953,1568,80.3
E05010625,860,716,83.3
E05010626,1894,962,50.8
E05010627,973,700,71.9
E05010628,2193,1662,75.8
E05010629,1856,1368,73.7
E05010630,1755,1287,73.3
E05010631,1056,927,87.8
E05010632,1011,332,32.8
E05010633,1075,622,57.9
E05010634,1798,1402,78
E05010635,909,692,76.1
E05010636,1678,1246,74.3
E05010637,2383,1391,58.4
E05010638,951,714,75.1
E05010639,1808,1129,62.4
E05010640,1954,1444,73.9
E05010641,1919,1548,80.7
E05010642,1001,689,68.8
E05010643,842,686,81.5
E05010644,834,710,85.1
E05010645,1614,1460,90.5
E05010646,1842,1018,55.3
E05010647,794,694,87.4
E05010648,972,698,71.8
E05010649,2850,2175,76.3
E05010650,1122,575,51.2
E05012040,850,670,78.8
E05012041,857,648,75.6
E05012042,1491,1217,81.6
E05012043,3200,1941,60.7
E05012044,1712,936,54.7
E05012045,1783,1555,87.2
E05012046,1683,988,58.7
E05012047,2651,2233,84.2
E05012048,804,711,88.4
E05012049,1889,1323,70
E05012050,2694,1484,55.1
E05012051,2539,2205,86.8
E05012052,1829,1046,57.2
E05012053,1980,1113,56.2
E05012054,1601,1116,69.7
E05012055,2390,1722,72.1
E05012056,2784,1729,62.1
E05012057,2373,1772,74.7
E05012058,785,582,74.1
E05012059,2710,1713,63.2
E05012060,1855,1320,71.2
E05012061,2529,1881,74.4
E05012062,854,540,63.2
E05012063,2169,1988,91.7
E05008809,3876,3174,81.9
E05008810,3712,2565,69.1
E05008811,2877,2315,80.5
E05008812,1158,871,75.2
E05008813,3988,3042,76.3
E05008814,2552,2007,78.6
E05008815,2467,1781,72.2
E05008816,3438,2511,73
E05008817,3554,2410,67.8
E05008818,2312,1769,76.5
E05008819,2336,1778,76.1
E05008820,2084,1640,78.7
E05008821,3884,2694,69.4
E05008822,3120,2567,82.3
E05008823,3878,2585,66.7
E05005408,2253,1665,73.9
E05005409,2224,1765,79.4
E05005410,3334,2707,81.2
E05005411,1053,837,79.5
E05005412,2474,1991,80.5
E05005413,2638,1816,68.8
E05005414,2016,1695,84.1
E05005416,1141,841,73.7
E05005417,1879,1556,82.8
E05005418,2368,1777,75
E05005419,1198,884,73.8
E05005420,2239,1663,74.3
E05005421,1955,1695,86.7
E05005422,2799,2171,77.6
E05005423,3184,2505,78.7
E05005424,3899,3048,78.2
E05009619,3059,2607,85.2
E05009620,2866,1941,67.7
E05005426,3338,2480,74.3
E05005427,3222,2467,76.6
E05005428,2899,2364,81.5
E05005429,2750,2228,81
E05005430,1135,976,86
E05005431,1355,1085,80.1
E05005432,1335,489,36.6
E05005433,2810,2049,72.9
E05005434,2496,1774,71.1
E05005435,3094,1230,39.8
E05005436,2962,1277,43.1
E05005437,1570,1272,81
E05005438,2293,2014,87.8
E05005439,3722,2419,65
E05005440,2515,1001,39.8
E05005441,2315,841,36.3
E05005442,3063,2275,74.3
E05005443,1904,1511,79.4
E05005444,3219,2471,76.8
E05005445,3417,2780,81.4
E05005446,3058,2168,70.9
E05005447,3435,2538,73.9
E05005448,3549,2567,72.3
E05005449,2994,2281,76.2
E05005450,2785,1904,68.4
E05005451,1312,1120,85.4
E05005452,4026,2937,73
E05005453,1215,1019,83.9
E05011964,1119,855,76.4
E05011965,1367,1031,75.4
E05011966,2055,1619,78.8
E05011967,2091,1720,82.3
E05011968,1088,935,85.9
E05011969,2428,1974,81.3
E05011970,2377,1869,78.6
E05011971,3626,2673,73.7
E05011972,1021,790,77.4
E05011973,2383,1453,61
E05011974,2177,1692,77.7
E05011975,2722,1731,63.6
E05011976,2328,1791,76.9
E05011977,2542,1858,73.1
E05011978,3781,2776,73.4
E05011979,1196,940,78.6
E05011980,1166,914,78.4
E05011981,3689,3025,82
E05011982,1263,990,78.4
E05005479,1575,1249,79.3
E05005480,1408,1070,76
E05005481,4071,2805,68.9
E05005482,2698,1844,68.3
E05005483,4554,3812,83.7
E05005484,1573,1230,78.2
E05005485,4653,3137,67.4
E05005486,2895,2449,84.6
E05005487,3246,1936,59.6
E05005488,4071,2889,71
E05005489,4690,3573,76.2
E05005490,3115,2235,71.7
E05005491,2758,2203,79.9
E05005492,3677,2942,80
E05005493,3137,2332,74.3
E05005494,1324,1081,81.6
E05005495,1633,1157,70.9
E05005496,1639,1273,77.7
E05005497,771,500,64.9
E05005498,796,651,81.8
E05005499,741,586,79.1
E05005500,1799,1388,77.2
E05005501,1714,1063,62
E05005502,2493,1656,66.4
E05005503,1717,1016,59.2
E05005504,2487,1808,72.7
E05005505,2265,1701,75.1
E05005506,1501,1069,71.2
E05005507,833,651,78.2
E05005508,779,602,77.3
E05005509,727,540,74.3
E05005510,699,368,52.6
E05010090,1021,829,81.2
E05010091,1309,1115,85.2
E05010092,1371,998,72.8
E05010093,1409,1029,73
E05010094,1496,881,58.9
E05010095,948,578,61
E05010096,1147,859,74.9
E05010097,1160,866,74.7
E05010098,1371,1011,73.7
E05010099,1026,788,76.8
E05010100,1179,726,61.6
E05010101,992,834,84.1
E05010102,1034,737,71.3
E05010103,1123,708,63
E05010104,1051,846,80.5
E05010105,1301,713,54.8
E05010106,1144,702,61.4
E05010107,1137,882,77.6
E05010108,1349,751,55.7
E05010109,1212,807,66.6
E05010110,1140,918,80.5
E05010111,1177,881,74.9
E05010112,1271,1036,81.5
E05010113,1132,764,67.5
E05010114,1294,957,74
E05010115,1074,718,66.9
E05010116,1139,877,77
E05010117,1261,821,65.1
E05010118,1095,752,68.7
E05010119,1170,896,76.6
E05010120,1341,1067,79.6
E05010121,1254,983,78.4
E05010122,1482,868,58.6
E05010123,776,481,62
E05010124,929,775,83.4
E05010125,1242,888,71.5
E05010126,1239,1028,83
E05010127,1179,924,78.4
E05005531,1560,1343,86.1
E05005532,1573,1259,80
E05005533,2000,1259,62.9
E05005534,1572,1296,82.4
E05005535,1643,1330,80.9
E05005536,3572,2252,63
E05005537,2625,2012,76.6
E05005538,2682,1943,72.4
E05005539,2782,2155,77.5
E05005540,2609,2169,83.1
E05009621,1565,1193,76.2
E05009622,1978,659,33.3
E05009623,3078,2125,69
E05009624,1732,1210,69.9
E05009625,3073,1983,64.5
E05009626,1525,1068,70
E05009627,998,678,67.9
E05009628,3431,1488,43.4
E05009629,1851,914,49.4
E05009630,1081,356,32.9
E05009631,1842,1311,71.2
E05009632,2271,1255,55.3
E05009633,922,804,87.2
E05009634,1996,986,49.4
E05009635,2057,1274,61.9
E05009873,2196,1392,63.4
E05009874,1133,783,69.1
E05009875,1221,896,73.4
E05009876,2349,1671,71.1
E05009877,3812,2510,65.8
E05009878,1016,843,83
E05009879,977,686,70.2
E05009880,1228,955,77.8
E05009881,1019,835,81.9
E05009882,1045,778,74.4
E05009883,1119,927,82.8
E05009884,2292,1889,82.4
E05009885,3629,2366,65.2
E05009886,1060,666,62.8
E05009887,962,695,72.2
E05009888,3982,2557,64.2
E05009889,1993,1608,80.7
E05009890,1123,638,56.8
E05009891,2491,1317,52.9
E05009892,1034,865,83.7
E05009893,2564,1444,56.3
E05009894,1253,837,66.8
E05009895,1128,870,77.1
E05009896,989,652,65.9
E05009897,4506,2120,47
E05009898,2243,1784,79.5
E05009899,1461,786,53.8
E05009900,2242,1755,78.3
E05009901,1120,908,81.1
E05009902,1031,842,81.7
E05009903,1102,509,46.2
E05009904,1191,680,57.1
E05009905,1111,858,77.2
E05009906,2739,1352,49.4
E05009907,1130,931,82.4
E05009908,2101,1611,76.7
E05009909,1159,829,71.5
E05010784,4589,1753,38.2
E05010785,3905,2092,53.6
E05010786,3285,1696,51.6
E05010787,4117,1760,42.7
E05010788,3704,1654,44.7
E05010789,3581,1960,54.7
E05010790,3723,2613,70.2
E05010791,3509,1821,51.9
E05010792,3406,1911,56.1
E05010793,5293,1662,31.4
E05010794,3400,2547,74.9
E05005618,2144,1296,60.4
E05005619,2241,1728,77.1
E05005620,2305,1591,69
E05005621,4135,2821,68.2
E05005622,2423,1770,73
E05005623,2418,1869,77.3
E05005624,2703,2127,78.7
E05005625,2625,1962,74.7
E05005626,3159,2532,80.2
E05005627,1039,787,75.7
E05005628,971,788,81.2
E05005629,2391,1760,73.6
E05005630,817,739,90.5
E05005631,1664,1259,75.7
E05005632,2659,1882,70.8
E05005633,1206,977,81
E05005634,1038,798,76.9
E05005635,1094,757,69.2
E05005636,2583,1903,73.7
E05005637,1574,1228,78
E05005638,1267,734,57.9
E05005639,1524,909,59.6
E05005640,1281,695,54.3
E05005641,3259,2488,76.3
E05005642,1335,779,58.4
E05005643,1135,932,82.1
E05005644,2811,2045,72.7
E05005645,3167,2421,76.4
E05005646,1078,857,79.5
E05005647,981,745,75.9
E05005648,944,695,73.6
E05005649,3681,2414,65.6
E05005650,3460,2490,72
E05005651,3071,2391,77.9
E05005652,3136,2365,75.4
E05005653,1179,669,56.7
E05005654,2468,1724,69.9
E05005655,2826,1476,52.2
E05005656,2012,1219,60.6
E05005657,2308,1242,53.8
E05005658,2640,1937,73.4
E05005659,1970,1264,64.2
E05005660,1118,882,78.9
E05005661,1856,1490,80.3
E05010148,1050,814,77.5
E05010149,2049,1549,75.6
E05010150,2166,1649,76.1
E05010151,3269,2234,68.3
E05010152,2183,1373,62.9
E05010153,2263,1780,78.7
E05010154,2472,2101,85
E05010155,986,676,68.6
E05010156,3130,2378,76
E05010157,1035,855,82.6
E05010158,960,748,77.9
E05010159,2264,1907,84.2
E05010160,2227,1774,79.7
E05010161,2547,1048,41.1
E05010162,1955,1077,55.1
E05010163,3507,1817,51.8
E05010164,2717,1499,55.2
E05010165,2423,1347,55.6
E05010166,2164,1358,62.8
E05010167,1101,827,75.1
E05010168,1110,855,77
E05010169,3112,2265,72.8
E05010170,1059,809,76.4
E05010171,2163,1492,69
E05010172,2138,1454,68
E05010173,2421,1392,57.5
E05010174,2456,1901,77.4
E05010175,2604,1325,50.9
E05010176,1181,816,69.1
E05010177,2141,1800,84.1
E05009636,1199,855,71.3
E05009637,2549,1767,69.3
E05009638,3471,2798,80.6
E05009639,3694,2924,79.2
E05009640,3140,1415,45.1
E05009641,3383,2038,60.2
E05009642,2757,1170,42.4
E05009643,1152,733,63.6
E05009644,1144,933,81.6
E05009645,964,824,85.5
E05009646,3957,2771,70
E05009647,2051,1629,79.4
E05009648,2679,1997,74.5
E05009649,1140,809,71
E05009650,3258,2596,79.7
E05009651,1059,836,78.9
E05009652,1121,979,87.3
E05009653,1349,1125,83.4
E05009654,1102,826,75
E05009655,1189,735,61.8
E05010673,1442,773,53.6
E05010674,3282,2571,78.3
E05010675,1600,1227,76.7
E05010676,1594,662,41.5
E05010677,3312,1663,50.2
E05010678,3291,1931,58.7
E05010679,4548,3251,71.5
E05010680,3447,2176,63.1
E05010681,4379,3331,76.1
E05010682,3357,2238,66.7
E05010683,1503,1120,74.5
E05010684,1237,931,75.3
E05010685,1956,1441,73.7
E05010686,1552,1328,85.6
E05010687,1740,761,43.7
E05010688,1725,1139,66
E05010689,2708,2032,75
E05010690,3018,2160,71.6
E05010691,1410,940,66.7
E05010692,3042,1563,51.4
E05010693,1457,1197,82.2
E05010694,1480,1149,77.6
E05010695,1428,1170,81.9
E05006377,1074,838,78
E05006378,1036,802,77.4
E05006379,2545,1855,72.9
E05006380,823,677,82.3
E05006381,1052,842,80
E05006382,3306,2200,66.5
E05006383,2995,2027,67.7
E05006384,2343,1486,63.4
E05006385,2431,1432,58.9
E05006386,1071,835,78
E05006387,3932,2568,65.3
E05006388,1123,754,67.1
E05006389,1111,861,77.5
E05006390,891,714,80.1
E05006391,1060,827,78
E05006392,1017,807,79.4
E05006393,898,694,77.3
E05006394,1998,1452,72.7
E05006395,855,460,53.8
E05006396,2858,1798,62.9
E05006397,3884,3041,78.3
E05006398,2797,2020,72.2
E05006399,3653,2264,62
E05006400,3229,2391,74
E05006401,3482,1468,42.2
E05010514,3064,2454,80.1
E05010515,2230,1888,84.7
E05010516,2749,1113,40.5
E05010517,2367,1278,54
E05010518,2274,1457,64.1
E05010519,2450,1623,66.2
E05010520,3126,2615,83.7
E05010521,984,811,82.4
E05010522,3357,2210,65.8
E05010523,1148,984,85.7
E05010524,2212,1454,65.7
E05010525,2191,1206,55
E05010526,2924,2545,87
E05010527,3106,2168,69.8
E05010528,2030,1728,85.1
E05010529,2164,1444,66.7
E05010530,2308,1557,67.5
E05010531,2435,1597,65.6
E05010532,3395,2790,82.2
E05010533,1849,1531,82.8
E05009689,2358,1751,74.3
E05009690,3332,2471,74.2
E05009691,2597,1806,69.5
E05009692,4033,2677,66.4
E05009693,2303,1525,66.2
E05009694,1220,884,72.5
E05009695,2608,1807,69.3
E05009696,2741,1579,57.6
E05009697,1251,1070,85.5
E05009698,2749,1907,69.4
E05009699,2721,2179,80.1
E05009700,2717,1363,50.2
E05009701,3659,3127,85.5
E05009702,2364,1796,76
E05009703,3654,3047,83.4
E05009704,3462,2779,80.3
E05009705,2804,2057,73.4
E05009706,2492,2075,83.3
E05009707,2493,2167,86.9
E05008857,1079,748,69.3
E05008858,1435,1321,92.1
E05008859,1353,849,62.7
E05008860,1460,667,45.7
E05008861,1738,1040,59.8
E05008862,1481,633,42.7
E05008863,1177,987,83.9
E05008864,1309,1021,78
E05008865,1292,1123,86.9
E05008866,1128,1022,90.6
E05008867,1434,1016,70.9
E05008868,1372,986,71.9
E05008869,1561,707,45.3
E05008870,1266,1099,86.8
E05008871,1073,937,87.3
E05008872,1227,1105,90.1
E05008873,1300,724,55.7
E05008874,1493,1158,77.6
E05008875,1277,823,64.4
E05008876,1188,836,70.4
E05008877,1415,498,35.2
E05008878,1317,960,72.9
E05008879,1224,344,28.1
E05008880,1152,999,86.7
E05008881,1551,904,58.3
E05008882,1185,775,65.4
E05008883,1243,777,62.5
E05008884,1328,421,31.7
E05008885,1356,809,59.7
E05008886,1297,607,46.8
E05008887,1288,769,59.7
E05008888,1306,858,65.7
E05008889,1541,969,62.9
E05008890,1494,662,44.3
E05008891,1144,602,52.6
E05008892,1547,999,64.6
E05010064,2454,1823,74.3
E05010066,1530,1035,67.6
E05010067,1521,996,65.5
E05010068,3263,1668,51.1
E05010070,2560,2064,80.6
E05010071,4187,2358,56.3
E05010072,1285,1070,83.3
E05010073,4893,3435,70.2
E05010075,1377,1109,80.5
E05010076,1167,984,84.3
E05010077,1259,1057,84
E05010078,4106,2591,63.1
E05010079,2820,2084,73.9
E05010080,2687,1767,65.8
E05010081,3754,2841,75.7
E05010082,1382,1014,73.4
E05010083,1213,1061,87.5
E05011552,3007,2257,75.1
E05011553,4126,2577,62.5
E05011554,1774,778,43.9
E05011555,2972,2225,74.9
E05009708,2161,1720,79.6
E05009709,2264,1730,76.4
E05009710,2146,1505,70.1
E05009711,1010,890,88.1
E05009712,2234,1849,82.8
E05009713,3425,2458,71.8
E05009714,1085,866,79.8
E05009715,1107,837,75.6
E05009716,1230,987,80.2
E05009717,2391,1627,68
E05009718,1214,836,68.9
E05009719,1015,783,77.1
E05009720,1104,876,79.3
E05009721,3641,2991,82.1
E05009722,2016,1531,75.9
E05009723,3832,3039,79.3
E05009724,2516,1661,66
E05009725,1839,1447,78.7
E05009726,1245,1074,86.3
E05009727,3670,2995,81.6
E05009728,3326,2455,73.8
E05009729,668,513,76.8
E05009730,1034,840,81.2
E05009731,1049,962,91.7
E05009732,2669,1290,48.3
E05009438,1614,1168,72.4
E05009439,1467,1062,72.4
E05009440,1349,963,71.4
E05009441,1611,1077,66.9
E05009442,1305,1020,78.2
E05009443,1721,1363,79.2
E05009444,1330,1055,79.3
E05009445,1689,1052,62.3
E05009446,1688,1108,65.6
E05009447,1457,908,62.3
E05009448,1402,1057,75.4
E05009449,1797,720,40.1
E05009450,1587,768,48.4
E05009452,1565,1104,70.5
E05009453,1675,1220,72.8
E05009454,1330,982,73.8
E05009455,1413,1056,74.7
E05009456,1775,1123,63.3
E05009457,1769,1316,74.4
E05009458,1547,1197,77.4
E05009459,1963,843,42.9
E05009460,1752,1256,71.7
E05009461,1588,1164,73.3
E05009462,1321,1061,80.3
E05009463,1385,1002,72.3
E05009464,1523,850,55.8
E05009465,1473,928,63
E05009466,1657,1125,67.9
E05009467,1549,1020,65.8
E05009468,2131,1075,50.4
E05009469,1704,1037,60.9
E05009470,1391,917,65.9
E05009471,1205,867,72
E05009472,1435,1153,80.3
E05009473,1454,998,68.6
E05009474,1812,801,44.2
E05009475,1340,934,69.7
E05009476,1594,1253,78.6
E05009478,1716,971,56.6
E05009479,1925,1174,61
E05009480,1607,1048,65.2
E05009481,1665,1044,62.7
E05009482,1669,858,51.4
E05009485,1504,1125,74.8
E05009486,1322,1057,80
E05009487,1635,1097,67.1
E05009488,1639,1151,70.2
E05009489,1571,557,35.5
E05009490,1483,1039,70.1
E05012957,1404,959,68.3
E05012958,1404,1097,78.1
E05012959,1514,1088,71.9
E05012960,1402,1093,78
E05009966,1151,976,84.8
E05009967,1269,1056,83.2
E05009968,1315,704,53.5
E05009969,2517,1209,48
E05009970,1313,1024,78
E05009971,1556,770,49.5
E05009972,4260,2369,55.6
E05009973,2728,1294,47.4
E05009974,1311,860,65.6
E05009975,2589,1956,75.6
E05009976,1616,1193,73.8
E05009977,4390,2360,53.8
E05009978,1763,663,37.6
E05009979,3266,2267,69.4
E05009980,1461,1081,74
E05009981,4903,3071,62.6
E05009982,4720,2402,50.9
E05009983,2865,1131,39.5
E05009984,2849,2027,71.1
E05009985,3121,1958,62.7
E05009986,2538,1757,69.2
E05009987,4280,2459,57.5
E05009988,1092,842,77.1
E05009989,2722,2073,76.2
E05009990,2854,1591,55.7
E05009991,1194,931,78
E05009992,3998,2098,52.5
E05009993,2772,968,34.9
E05009994,1406,1025,72.9
E05009995,2695,1746,64.8
E05008714,4655,2191,47.1
E05008715,7546,5391,71.4
E05008716,4721,1455,30.8
E05008717,4810,2875,59.8
E05008718,2530,1547,61.1
E05008719,3051,1519,49.8
E05008720,2909,1440,49.5
E05008721,2365,1263,53.4
E05008722,2531,1814,71.7
E05008723,3216,1148,35.7
E05008724,2158,1383,64.1
E05008725,2085,1270,60.9
E05008726,2069,1417,68.5
E05008727,3106,1243,40
E05008728,2798,1501,53.6
E05008729,2731,1371,50.2
E05008730,2873,1450,50.5
E05008731,2554,1558,61
E05008732,4401,2934,66.7
E05008733,4932,4212,85.4
E05008734,1837,520,28.3
E05008735,3123,1682,53.9
E05008736,2457,1570,63.9
E05008737,3228,1172,36.3
E05008738,1956,1355,69.3
E05008739,2630,1399,53.2
E05008740,1868,1569,84
E05008741,2661,1126,42.3
E05008742,2000,1801,90
E05008743,2409,1155,47.9
E05008744,2379,1179,49.6
E05008745,3046,1520,49.9
E05008746,2741,1644,60
E05008747,2251,1503,66.8
E05008748,2832,1420,50.1
E05008749,2713,1284,47.3
E05008750,2215,1771,80
E05008136,2244,1499,66.8
E05008137,2063,1487,72.1
E05008138,1754,1322,75.4
E05008139,2156,1566,72.6
E05008140,2162,1585,73.3
E05008141,5617,4375,77.9
E05008142,2172,1404,64.6
E05008143,1675,1111,66.3
E05008144,2024,1275,63
E05008145,3121,2148,68.8
E05008146,3123,2234,71.5
E05008147,2280,1524,66.8
E05008148,1688,1181,70
E05008149,1872,1387,74.1
E05008150,2202,1123,51
E05008151,1695,1266,74.7
E05008152,1255,905,72.1
E05008153,4161,2893,69.5
E05008154,1911,1440,75.4
E05008155,3209,2420,75.4
E05008156,1704,1298,76.2
E05008157,1716,1492,86.9
E05008158,1575,1132,71.9
E05008159,2028,1403,69.2
E05008160,2023,1085,53.6
E05008161,1667,1137,68.2
E05008162,1510,1150,76.2
E05008163,1859,1488,80
E05008164,1786,1316,73.7
E05008165,1730,1302,75.3
E05008166,1771,1040,58.7
E05008167,1993,1201,60.3
E05008168,1775,1236,69.6
E05008169,2355,1477,62.7
E05008170,3987,2789,70
E05008171,1831,1299,70.9
E05008172,1967,1395,70.9
E05008173,1893,1139,60.2
E05008174,1871,1242,66.4
E05008178,1884,1240,65.8
E05008179,1889,1407,74.5
E05008180,2185,892,40.8
E05008181,2565,1815,70.8
E05008183,1982,1426,71.9
E05008186,2092,1391,66.5
E05008187,1959,1297,66.2
E05008188,2572,1669,64.9
E05008189,2620,1732,66.1
E05008190,1624,912,56.2
E05008191,2065,1409,68.2
E05008192,1978,1527,77.2
E05008193,1818,1085,59.7
E05008194,3850,2745,71.3
E05008195,3442,2190,63.6
E05008196,1781,1297,72.8
E05008198,1487,949,63.8
E05009281,2874,2049,71.3
E05009282,4028,2543,63.1
E05009283,2103,1290,61.3
E05009284,1805,975,54
E05009285,1763,1359,77.1
E05009286,1963,1481,75.4
E05009287,1834,1342,73.2
E05006902,2972,2008,67.6
E05006903,3256,1789,54.9
E05006904,3110,1649,53
E05006905,3844,1957,50.9
E05006906,3229,2313,71.6
E05006907,2747,2118,77.1
E05006908,1830,1237,67.6
E05006909,2778,2193,78.9
E05006910,2677,1872,69.9
E05006911,2870,2271,79.1
E05006912,3202,1865,58.2
E05006913,2287,1871,81.8
E05006914,3523,2547,72.3
E05006915,2003,1439,71.8
E05006916,3125,2029,64.9
E05006917,1147,994,86.7
E05006918,2891,1248,43.2
E05006919,1184,950,80.2
E05006920,3776,2938,77.8
E05006921,2252,1972,87.6
E05006922,2003,755,37.7
E05006923,1135,778,68.5
E05006924,1054,858,81.4
E05006925,3077,1604,52.1
E05006926,2926,2107,72
E05006927,3786,2157,57
E05006928,2534,2086,82.3
E05006929,1456,1237,85
E05006930,3325,1497,45
E05006931,3689,1904,51.6
E05006932,3413,2863,83.9
E05006933,3076,2123,69
E05006934,3059,2361,77.2
E05006935,912,709,77.7
E05006936,3454,2164,62.7
E05006937,1141,967,84.8
E05010651,2758,2181,79.1
E05010652,3431,2572,75
E05010653,1753,1501,85.6
E05010654,2823,2115,74.9
E05010655,969,718,74.1
E05010656,1951,1072,54.9
E05010657,1998,1591,79.6
E05010658,2132,1241,58.2
E05010659,972,775,79.7
E05010660,1859,1022,55
E05010661,2007,1301,64.8
E05010662,1781,1527,85.7
E05010663,1873,1628,86.9
E05010664,3383,2279,67.4
E05010665,1900,1697,89.3
E05010666,872,724,83
E05010667,835,592,70.9
E05010668,2538,1911,75.3
E05010669,939,778,82.9
E05010670,3238,2081,64.3
E05010671,2694,1941,72
E05010672,2931,2186,74.6
E05011415,3697,2757,74.6
E05011416,3631,2617,72.1
E05011417,1272,874,68.7
E05011418,2375,1626,68.5
E05011419,2392,1140,47.7
E05011420,2402,1219,50.7
E05011421,366,263,71.9
E05011422,3928,2788,71
E05011423,1229,557,45.3
E05011424,1857,1539,82.9
E05011425,2458,1832,74.5
E05011426,1138,961,84.4
E05011427,3969,2804,70.6
E05011428,2474,2135,86.3
E05011429,2559,1518,59.3
E05011430,3932,2694,68.5
E05011431,2478,1493,60.3
E05011432,2685,935,34.8
E05011433,2239,1797,80.3
E05011434,3526,2657,75.4
E05011435,2810,1946,69.3
E05006988,1904,1234,64.8
E05006989,3010,2346,77.9
E05006990,1808,1422,78.7
E05006991,1531,1199,78.3
E05006992,1981,1443,72.8
E05006993,1585,1378,86.9
E05006994,2058,1492,72.5
E05006995,1981,1410,71.2
E05006996,1989,1450,72.9
E05006997,2714,2059,75.9
E05006998,1097,844,76.9
E05006999,2170,1382,63.7
E05007000,3124,2527,80.9
E05007001,983,760,77.3
E05007002,1618,1216,75.2
E05007003,2106,1606,76.3
E05007004,974,661,67.9
E05007005,792,683,86.2
E05007006,815,735,90.2
E05007007,2750,1777,64.6
E05007008,931,640,68.7
E05007009,1766,1306,74
E05007010,2671,2043,76.5
E05007011,1805,1406,77.9
E05007012,1962,1338,68.2
E05010479,1190,874,73.4
E05010480,2608,2308,88.5
E05010481,2305,1008,43.7
E05010482,3500,1589,45.4
E05010483,1895,978,51.6
E05010484,3104,2332,75.1
E05010485,1919,874,45.5
E05010486,2574,2107,81.9
E05010487,3002,2333,77.7
E05010488,2991,2443,81.7
E05010489,3121,1637,52.5
E05010490,3027,2294,75.8
E05010491,2499,1759,70.4
E05010492,3288,2033,61.8
E05010493,1231,1082,87.9
E05010494,2754,2081,75.6
E05010495,1486,699,47
E05010496,1281,1054,82.3
E05010497,4673,3164,67.7
E05010498,2946,2411,81.8
E05010499,2765,2233,80.8
E05010500,3138,2360,75.2
E05010501,2747,2376,86.5
E05007039,590,489,82.9
E05007040,691,624,90.3
E05007041,2467,1425,57.8
E05007042,720,642,89.2
E05007043,2417,2156,89.2
E05007044,726,656,90.4
E05007045,2372,1862,78.5
E05007046,2049,1795,87.6
E05007047,759,636,83.8
E05007048,1400,1228,87.7
E05007049,1542,1116,72.4
E05007050,1621,1213,74.8
E05007051,2208,1666,75.5
E05007052,2392,1995,83.4
E05007053,2254,1914,84.9
E05007054,1426,1133,79.5
E05007055,619,490,79.2
E05007056,2222,1887,84.9
E05007057,743,596,80.2
E05007058,743,655,88.2
E05007059,771,671,87
E05007060,2373,1655,69.7
E05007061,2445,1389,56.8
E05007062,2650,1801,68
E05007063,2074,1643,79.2
E05007064,749,568,75.8
E05007065,1334,1234,92.5
E05007066,3421,2493,72.9
E05007067,3110,2087,67.1
E05007068,3273,2109,64.4
E05007069,3657,1960,53.6
E05007070,3041,1651,54.3
E05007071,3027,2110,69.7
E05007072,3426,2305,67.3
E05007073,3118,2097,67.3
E05007074,3039,2519,82.9
E05007075,3780,2707,71.6
E05007457,2567,1673,65.2
E05007458,1941,855,44
E05007459,1602,1082,67.5
E05007460,1698,1127,66.4
E05007461,1815,1341,73.9
E05007462,1387,1061,76.5
E05007463,1669,1126,67.5
E05007464,1370,1151,84
E05007465,1324,779,58.8
E05007466,1422,1072,75.4
E05007467,1644,1192,72.5
E05007468,1593,1037,65.1
E05007469,1555,1224,78.7
E05007470,1523,1221,80.2
E05007471,1592,1175,73.8
E05007472,1404,1111,79.1
E05007473,1481,1191,80.4
E05007474,4119,1869,45.4
E05007475,3028,2147,70.9
E05007476,3385,2062,60.9
E05007477,3218,1919,59.6
E05007478,3052,1797,58.9
E05007479,2804,2283,81.4
E05007480,3978,2213,55.6
E05007481,3492,2505,71.7
E05007482,3404,2708,79.6
E05007483,3116,2329,74.7
E05007484,3037,1860,61.2
E05007485,3371,2131,63.2
E05007486,3473,2951,85
E05007487,3074,2265,73.7
E05007488,4026,3223,80.1
E05007489,3197,1658,51.9
E05007490,2809,2583,92
E05008974,4140,1580,38.2
E05008975,2923,2352,80.5
E05008976,1213,900,74.2
E05008977,3202,2385,74.5
E05008979,3189,2294,71.9
E05008980,1053,876,83.2
E05008981,3514,1749,49.8
E05008982,3749,2058,54.9
E05008983,2924,2448,83.7
