mnemonic,all_households,owned_households,percent_owned
E05011350,7469,1899,25.4
E05011351,6737,1378,20.5
E05011352,6744,2683,39.8
E05011353,6795,3425,50.4
E05011354,6522,3301,50.6
E05011355,7030,2934,41.7
E05011356,6953,2050,29.5
E05011357,5678,3525,62.1
E05011358,7103,3803,53.5
E05011359,7709,2249,29.2
E05011360,6022,2627,43.6
E05011361,6278,1436,22.9
E05011362,6227,4207,67.6
E05011363,7431,3580,48.2
E05011364,4311,1238,28.7
E05011365,8352,2937,35.2
E05011366,7898,2240,28.4
E05011367,6400,2765,43.2
E05011368,7881,1477,18.7
E05011369,7234,3232,44.7
E05011370,6473,2080,32.1
E05011371,8130,2636,32.4
E05011372,7271,1512,20.8
E05011373,7456,4031,54.1
E05011374,6072,2810,46.3
E05011375,5756,1913,33.2
E05011376,6263,1222,19.5
E05011377,4790,1499,31.3
E05011378,7104,2566,36.1
E05011379,6619,2453,37.1
E05011380,5538,1972,35.6
E05011381,6495,2251,34.7
E05000719,4799,1741,36.3
E05000720,4536,3096,68.3
E05000721,4502,3080,68.4
E05000722,4849,2930,60.4
E05000723,4322,1571,36.3
E05000724,4589,3502,76.3
E05000725,4704,3085,65.6
E05000726,4789,2978,62.2
E05000727,4798,2037,42.5
E05000728,5013,2507,50
E05000729,4444,3176,71.5
E05000730,4827,3460,71.7
E05000731,4254,3396,79.8
E05000732,4429,3533,79.8
E05000733,4875,3655,75
E05000734,4887,2668,54.6
E05000735,4705,2106,44.8
E05000736,4504,2792,62
E05000737,5185,2834,54.7
E05000738,4121,2085,50.6
E05014033,4536,2297,50.6
E05014034,4218,3237,76.7
E05014035,4385,2730,62.3
E05014036,4259,1908,44.8
E05014037,4951,3040,61.4
E05014038,4216,3000,71.2
E05014039,4609,2863,62.1
E05014040,4118,2199,53.4
E05014041,4259,3054,71.7
E05014042,3722,1584,42.6
E05014043,4718,3311,70.2
E05014044,4051,3420,84.4
E05014045,5116,2483,48.5
E05014046,5144,3187,62
E05014047,4711,2121,45
E05014048,4715,3416,72.4
E05014049,4808,2312,48.1
E05014050,4301,3360,78.1
E05014051,5122,2851,55.7
E05014052,4264,2009,47.1
E05013018,7125,3273,45.9
E05013019,5885,1045,17.8
E05013020,5169,4373,84.6
E05013021,6227,1307,21
E05013022,5226,3335,63.8
E05013023,5519,3731,67.6
E05013024,6756,3436,50.9
E05013025,5878,3268,55.6
E05013026,5306,2478,46.7
E05013027,5718,2035,35.6
E05013028,4944,961,19.4
E05013029,5772,3085,53.4
E05013030,6456,1370,21.2
E05013031,5142,791,15.4
E05013032,5512,3444,62.5
E05013033,5374,3656,68
E05013034,5982,2968,49.6
E05013035,5155,3610,70
