mnemonic,percent_1parent
E05011025,9.9
E05011026,7.8
E05011027,5.1
E05011028,6.4
E05011029,4.9
E05011030,10.1
E05011031,3.3
E05011032,4.5
E05011033,7.6
E05011034,10.6
E05011035,6
E05011036,4.7
E05011037,5.7
E05011038,8.9
E05011039,3.5
E05011040,13.5
E05011041,5.7
E05011042,5.7
E05011043,4.4
E05011044,4.8
E05011045,3.7
E05011508,8.3
E05011509,7.1
E05011510,4.3
E05011511,10.5
E05011512,7.4
E05011513,15.5
E05011514,11.2
E05011515,7
E05011516,7.9
E05011517,11.8
E05011518,9.2
E05011519,3.7
E05011520,12.9
E05011521,7.9
E05011522,5.8
E05011523,9.2
E05011524,4.3
E05001643,6.2
E05001644,5.7
E05001645,11.3
E05001646,12.6
E05001647,9.8
E05001648,10.8
E05001649,8.9
E05001650,12.1
E05001651,9.2
E05001652,8.3
E05001653,11.8
E05001654,8.5
E05001655,4.1
E05001656,10.9
E05001657,6.7
E05001658,7.1
E05001659,7.8
E05001660,9.8
E05001661,12.4
E05001662,6.3
E05001663,6.2
E05008610,5.5
E05008611,5.4
E05008612,3.5
E05008613,5.6
E05008614,5.7
E05008615,7.3
E05008616,3.6
E05008617,3.6
E05008618,6.1
E05008619,5.3
E05008620,10.5
E05008621,7.5
E05008622,7.9
E05008623,12
E05008624,6.5
E05008625,9.3
E05008626,4.5
E05008627,3.7
E05008628,3.4
E05008629,7.2
E05008630,5
E05008631,3.6
E05008632,5.1
E05008633,4.9
E05008634,5.4
E05008635,3.9
E05008636,7.5
E05008637,7.6
E05008638,4.2
E05008639,7.6
E05008640,5.4
E05008641,3.3
E05008642,5.4
E05008643,5.3
E05008644,3.8
E05008645,2.7
E05008646,4.5
E05008647,2.9
E05008648,7.1
E05008649,6.4
E05008650,6.6
E05008651,4
E05008652,6.6
E05008653,2.4
E05008654,4.3
E05008655,4.5
E05008656,2.7
E05008657,7.6
E05008658,4.3
E05008659,3.4
E05008660,4.6
E05008661,3.1
E05012209,11.1
E05012210,12.7
E05012211,2.6
E05012212,6.4
E05012213,5.8
E05012214,5.1
E05012215,5.6
E05012216,4.8
E05012217,4.8
E05012218,4.7
E05012219,4.4
E05012220,4.9
E05012221,10.5
E05012222,3.9
E05012223,3.6
E05012224,4.4
E05012225,4.9
E05012226,7.2
E05012227,5
E05012228,5.2
E05012229,8.5
E05012230,6.7
E05012231,7.9
E05012232,3.4
E05012233,6.3
E05012234,2.4
E05012235,3.9
E05012236,5
E05012237,3.3
E05012238,9.4
E05012239,4.4
E05012240,4.1
E05012241,4.1
E05012242,5.1
E05012243,4.9
E05012244,10.5
E05012245,4.4
E05012246,5.1
E05012247,3
E05012248,6.7
E05012249,4.4
E05012250,9.8
E05012251,7.3
E05012252,11
E05012253,13.7
E05014171,5.8
E05014175,1.5
E05014181,5.9
E05014182,3.5
E05014186,4.6
E05014193,8.5
E05014198,3.8
E05014200,4.7
E05014201,11
E05014206,12.8
E05014207,4.7
E05014208,7.8
E05014209,6.7
E05014210,5.1
E05014212,2.7
E05014215,5.6
E05014222,4.1
E05014223,6.1
E05014228,3.1
E05014240,10.3
E05014241,8.8
E05014244,7.4
E05014248,6.1
E05014172,5.7
E05014173,9.5
E05014174,8.6
E05014176,5.8
E05014178,5.7
E05014183,3.5
E05014184,6.8
E05014185,4.1
E05014187,7.2
E05014191,10.5
E05014192,7.1
E05014195,3.1
E05014199,4.8
E05014205,7.4
E05014211,4.6
E05014213,11.2
E05014214,3.5
E05014216,4.2
E05014177,4.4
E05014179,6.4
E05014180,7.7
E05014188,7.8
E05014189,8.6
E05014190,3.4
E05014194,5.4
E05014196,6.7
E05014197,7.5
E05014202,7.3
E05014203,2.7
E05014204,7.4
E05014217,2.9
E05014218,4.1
E05014224,3.9
E05014225,3.2
E05014227,2.4
E05014229,3.1
E05014237,3
E05014242,4.9
E05014243,5
E05014219,3.2
E05014220,4.1
E05014221,2.3
E05014226,2.4
E05014230,3.1
E05014231,3.7
E05014232,5.9
E05014233,5.7
E05014234,4
E05014235,5.2
E05014236,3
E05014238,3.8
E05014239,3
E05014245,3.1
E05014246,5.2
E05014247,3.7
E05014249,3.8
E05005150,9.7
E05005151,6.6
E05005152,10.2
E05005153,3.2
E05005154,8.1
E05005155,6.4
E05005156,10.2
E05005157,10.3
E05005158,10
E05005159,8.8
E05005160,8.4
E05005161,10.9
E05005162,11.9
E05005163,11.5
E05005164,5.6
E05013064,6.2
E05013065,8
E05013066,9
E05013067,4.8
E05013068,5.8
E05013069,7.4
E05013070,6.6
E05013071,9
E05013072,6.9
E05013073,5.6
E05013074,7.1
E05013075,4.8
E05013076,4.6
E05013077,4.8
E05005185,2.8
E05005186,3
E05005187,5.4
E05005188,2.7
E05005189,2.4
E05005190,2.8
E05005191,6.9
E05005192,4.9
E05005193,5.7
E05005194,6
E05005195,5.8
E05005196,6.1
E05005197,9.3
E05005198,4.7
E05005199,4.2
E05005200,3.8
E05005201,6.5
E05005202,7
E05005203,4.1
E05005204,7.1
E05005205,6.5
E05005206,9.9
E05005207,9
E05005208,3.8
E05005209,10.4
E05005210,10.9
E05005211,8
E05005212,7
E05005213,7.3
