mnemonic,unemployed
E05012207,5.5
E05012208,2
E05012000,2.1
E05012001,2.2
E05012002,1.8
E05012003,1.3
E05012004,1.3
E05012005,1.1
E05012006,1.2
E05012007,1.8
E05012008,0.8
E05012009,0.8
E05012010,1.9
E05012011,2.3
E05012012,1.9
E05012013,2.3
E05012014,1.2
E05012015,2.4
E05012016,1.3
E05012017,1.9
E05012018,2.3
E05012019,1.6
E05012020,0.8
E05012021,1.3
E05012022,1.9
E05012023,1.9
E05012024,1.2
E05012025,1.7
E05005316,2.2
E05005317,2.1
E05005318,2.3
E05005319,2.2
E05005320,2.4
E05005321,3.2
E05005322,2.7
E05005323,3
E05005324,1.8
E05005325,2.6
E05005326,3
E05005327,3.6
E05005328,2.9
E05005329,3.7
E05010214,2.8
E05010215,3.6
E05010216,2
E05010217,2.6
E05010218,2.2
E05010219,2.3
E05010220,2
E05010221,2
E05010222,2
E05010223,1.9
E05010224,1.5
E05010225,1.5
E05010226,2.5
E05010227,1.4
E05010228,2.2
E05010229,2.4
E05010230,2.3
E05010231,1.8
E05010232,2.6
E05010233,2.7
E05010234,3.2
E05010235,2.3
E05010236,1.9
E05005357,2.7
E05005358,2.2
E05005359,1.3
E05005360,4.3
E05005361,1.7
E05005362,2.8
E05005363,6.7
E05005364,5.4
E05005365,1.9
E05005366,2.1
E05005367,2.5
E05005368,4.2
E05005369,2.2
E05005370,1.9
E05005371,1.6
E05005372,1.9
E05005373,2.8
E05005374,2.9
E05005375,3.7
E05005376,4.4
E05005377,2
E05005378,2.6
E05005379,1.6
E05005380,2.1
E05005381,1.9
E05009932,2.8
E05009933,1.9
E05009934,2.7
E05009935,1.5
E05009936,2.5
E05009937,3.3
E05009938,1.2
E05009939,1.8
E05009940,1.6
E05009941,2.1
E05009942,3.9
E05009943,1.7
E05009944,3.3
E05009945,4.1
E05009946,6.4
E05009947,2.4
E05009948,2.1
E05009949,1.9
E05009950,3.7
E05009951,1.9
E05009952,2.2
E05009953,2
E05009954,3.8
E05009955,1.5
E05000650,2.7
E05000651,3
E05000652,4.5
E05000653,2.3
E05000654,5.1
E05000655,5
E05000656,5.3
E05000657,7.7
E05000658,4.4
E05000659,2.2
E05000660,2.5
E05000661,2.9
E05000662,3.5
E05000663,3.5
E05000664,3.2
E05000665,5.8
E05000666,3.4
E05000667,4.9
E05000668,2.4
E05000669,2.8
E05014152,3.5
E05014153,5.3
E05014154,2.5
E05014155,2.8
E05014156,3.5
E05014157,4.8
E05014158,1.6
E05014159,2.5
E05014160,3.8
E05014161,2.7
E05014162,4.3
E05014163,2.3
E05014164,4
E05014165,2.9
E05014166,3.2
E05014167,2
E05014168,2.7
E05011350,4.1
E05011351,7.9
E05011352,4.6
E05011353,3.9
E05011354,5.1
E05011355,5.2
E05011356,6
E05011357,2.9
E05011358,3.9
E05011359,6
E05011360,5.5
E05011361,5.9
E05011362,3
E05011363,2.5
E05011364,8
E05011365,6.6
E05011366,6.5
E05011367,4.7
E05011368,9
E05011369,5.6
E05011370,6.1
E05011371,5.2
E05011372,8.6
E05011373,4.9
E05011374,4.6
E05011375,6.3
E05011376,6.2
E05011377,7.6
E05011378,4.9
E05011379,5.4
E05011380,6.9
E05011381,5.2
E05000719,6.1
E05000720,3.5
E05000721,4.2
E05000722,3.4
E05000723,7
E05000724,2.4
E05000725,3.3
E05000726,3.7
E05000727,5.5
E05000728,4.7
E05000729,2.7
E05000730,3.2
E05000731,2
E05000732,2.1
E05000733,2.2
E05000734,4.3
E05000735,6.3
E05000736,3.9
E05000737,4.1
E05000738,6.4
E05014033,4.5
E05014034,3.1
E05014035,3.5
E05014036,5.9
E05014037,3.4
E05014038,2.8
E05014039,3.6
E05014040,4.6
E05014041,2.4
E05014042,6
E05014043,2.5
E05014044,2
E05014045,4.2
E05014046,4
E05014047,4.7
E05014048,3.2
E05014049,4.4
E05014050,2.1
E05014051,3.8
E05014052,4.6
E05013018,4.7
E05013019,6.7
E05013020,2.3
E05013021,7.7
E05013022,3.2
E05013023,3.5
E05013024,3.4
E05013025,4.2
E05013026,3.5
E05013027,5.3
E05013028,5.5
E05013029,4.1
E05013030,8.5
E05013031,6.1
E05013032,3.5
E05013033,2.9
E05013034,4.7
E05013035,3
E05013036,6.1
E05013037,2.9
E05000779,2.3
E05000780,1.5
E05000781,2.7
E05000782,3.3
E05000783,5.4
E05000784,2.2
E05000785,2.7
E05000786,2
E05000787,3.4
E05000788,3.4
E05000789,2.5
E05000790,2.8
E05000791,2.4
E05000792,2.4
E05000793,3.2
E05000794,2
E05000795,2
E05000796,3.1
E05000797,3.8
E05000798,3
E05000799,2.2
E05000800,3.5
E05000801,3.8
E05000802,3.1
E05000803,3.3
E05000804,3.4
E05000805,3.6
E05000806,2.5
E05000807,3.6
E05000808,3.8
E05000809,3.5
E05000810,3.1
E05000811,3.4
E05000812,3.4
E05000813,3
E05000814,3.1
E05000815,3.4
E05000816,5.7
E05000817,3.6
E05000818,2.6
E05000819,2.7
E05000820,2.5
E05000821,2.2
E05000822,2.8
E05000823,2.2
E05000824,3.9
E05000825,5.5
E05000826,2.8
E05000827,2.3
E05000828,2.1
E05000829,3.8
E05000830,2
E05000831,2.2
E05000832,4.6
E05000833,2.8
E05000834,3
E05000835,2.9
E05000836,3.2
E05000837,2.1
E05000838,2.9
E05000839,3
E05000840,3.5
E05000841,2.6
E05000842,2.3
E05000843,2.6
E05000844,3
E05000845,4.3
E05000846,2.8
E05000847,3.8
E05000848,2.6
E05000849,3.5
E05000850,2.4
E05000851,4.7
E05000852,3.5
E05000853,3
E05000854,4.3
E05000855,2.3
E05000856,2
E05000857,3.7
E05000858,2
E05000859,2.3
E05000860,3
E05000861,3.1
E05000862,3.5
E05000863,1.9
E05000864,3.2
E05010935,3.4
E05010936,2.8
E05010937,4
E05010938,4.6
E05010939,4.2
E05010940,3.1
E05010941,3.5
E05010942,1.9
E05010943,3.2
E05010944,3.6
E05010945,4.3
E05010946,4.5
E05010947,2.7
E05010948,2.9
E05010949,3.8
E05000886,2.8
E05000887,5.6
E05000888,4
E05000889,9
E05000890,2.8
E05000891,2.6
E05000892,4.6
E05000893,5.1
E05000894,2.8
E05000895,3.4
E05000896,6
E05000897,4.1
E05000898,5.4
E05000899,6.6
E05000900,5.8
E05000901,3.6
E05000902,2.5
E05000903,4.3
E05000904,4.1
E05000905,6.6
E05000906,7.1
E05000907,5.6
E05000908,4.1
E05000909,4.7
E05000910,5.4
E05000911,3.9
E05000912,3.8
E05000913,2.9
E05000914,2.1
E05000915,4
E05014120,2
E05014121,3.3
E05014122,3.5
E05014123,1.9
E05014124,2.5
E05014125,3
E05014126,2.9
E05014127,3.3
E05014128,4.6
E05014129,4.2
E05014130,1.9
E05014131,2.3
E05014132,5.3
E05014133,2.9
E05014134,3.4
E05014135,3.4
E05014136,3.6
E05014137,3.1
E05000932,2.3
E05000933,2.7
E05000934,2.1
E05000935,2.6
E05000936,3.9
E05000937,5
E05000938,4
E05000939,3.8
E05000940,1.9
E05000941,3.1
E05000942,5.3
E05000943,4.1
E05000944,2.4
E05000945,2.1
E05000946,2
E05000947,3.8
E05000948,2.6
E05000949,1.9
E05000950,2.1
E05000951,4
E05000952,2.4
E05000953,2.5
E05000954,2.4
E05000955,4.3
E05000956,4.5
E05000957,2.8
E05000958,1.8
E05000959,2.7
E05000960,2
E05000961,1.8
E05000962,1.9
E05000963,2.1
E05000964,3.1
E05000965,3.8
E05000966,2.2
E05000967,2.8
E05000968,2.6
E05000969,2.3
E05000970,3
E05000971,4.4
E05000972,4.4
E05000973,2.8
E05000974,2.4
E05000975,2.6
E05011525,4.7
E05011526,5.5
E05011527,2.6
E05011528,2.9
E05011529,7
E05011530,3.4
E05011531,4.8
E05011532,3.2
E05011533,3.4
E05011534,2.3
E05011535,5
E05011536,5.7
E05011537,5.5
E05011538,5.6
E05011539,6.8
E05011540,4.2
E05011541,7.3
E05011542,4.6
E05011543,3
E05011544,6.5
E05011545,4.7
E05001687,1.9
E05001688,3.2
E05001689,1.7
E05001690,4.2
E05001691,2
E05001692,2.7
E05001693,1.7
E05001694,1.8
E05001695,1.9
E05001696,2.9
E05001697,4.8
E05001698,2.5
E05001699,1.9
E05001700,1.8
E05001701,2.1
E05001702,2.8
E05001703,2.3
E05001704,1.9
E05001705,1.9
E05001706,2.3
E05001707,3.1
E05001708,1.4
E05001709,2.3
E05001710,2.6
E05001711,1.6
E05001712,2.2
E05001713,3.4
E05001714,5.7
E05001715,2.8
E05001716,1.9
E05001717,4.5
E05001718,1.9
E05001719,3
E05001720,2.9
E05001721,2.1
E05001722,4.3
E05001723,4.8
E05001724,1.9
E05001725,5.5
E05001726,1.7
E05001727,2.9
E05001728,3.3
E05001729,2.3
E05001730,2.5
E05001731,2.1
E05001732,2.6
E05001733,1.8
E05001734,2.4
E05001735,2.7
E05001736,4.8
E05001737,2.8
E05001738,2.6
E05001739,4.4
E05001740,2.1
E05001741,5
E05001742,3.3
E05001743,2.1
E05001744,4.9
E05010311,1.9
E05010312,1.1
E05010313,3
E05010314,1.5
E05010315,2.3
E05010316,3.8
E05010317,2
E05010318,5.9
E05010319,1.5
E05010320,3.6
E05010321,1
E05010322,2.8
E05010323,5.8
E05010324,2.3
E05010325,3
E05010326,2
E05010327,1.7
E05010328,2
E05010329,1.7
E05010330,2.9
E05010331,2.2
E05014250,1.7
E05014256,1.4
E05014277,1.7
E05014294,1.3
E05014316,1.3
E05014319,2.4
E05014320,1.5
E05014321,2.3
E05014335,1.4
E05014251,1.6
E05014255,1.9
E05014270,1.5
E05014276,1.8
E05014282,0.9
E05014283,1.7
E05014285,1.5
E05014295,1.6
E05014298,2
E05014299,2.7
E05014310,1
E05014322,1.7
E05014325,2.4
E05014327,1.9
E05014257,2.4
E05014258,2
E05014259,1.6
E05014267,1.9
E05014273,2.7
E05014278,1.9
E05014279,2.8
E05014286,1.7
E05014288,2.2
E05014289,1.5
E05014292,1.4
E05014302,2
E05014304,1.3
E05014305,1.9
E05014308,2.2
E05014309,2.1
E05014323,1.3
E05014324,1.5
E05014331,2.9
E05014332,0.8
E05014333,1.5
E05014263,2.1
E05014280,3.1
E05014290,1.4
E05014297,1.2
E05014307,2.3
E05014312,2
E05014330,1.8
E05014252,1.6
E05014281,1.4
E05014287,1.7
E05014291,2
E05014300,2.2
E05014306,1.9
E05014318,1.7
E05014328,1.3
E05R14284,1.6
E05014262,5.1
E05014265,1.9
E05014268,1.5
E05014269,1.9
E05014271,3.6
E05014272,1.2
E05014274,3
E05014275,2.5
E05014296,2
E05014301,3.5
E05014311,1.6
E05014313,1.6
E05014334,2.9
E05014336,3.1
E05014337,2.2
E05014338,3.3
E05S14284,2
E05014253,1.6
E05014254,1.8
E05014260,2.1
E05014261,1.8
E05014264,2
E05014266,2
E05014293,2.4
E05014303,2.2
E05014314,3.7
E05014315,2.9
E05014317,2.4
E05014326,2.1
E05014329,1.6
E05000976,3.7
E05000977,3
E05000978,3.1
E05000979,2.2
E05000980,2.2
E05000981,3.7
E05000982,3
E05000983,2.1
E05000984,2.8
E05000985,4
E05000986,3.2
E05000987,2.9
E05000988,3
E05000989,1.6
E05000990,2.1
E05000991,2.8
E05000992,2.7
E05000993,4.3
E05000994,3.1
E05000995,3.4
E05000996,3.1
E05010728,4
E05010729,2.7
E05010730,3.5
E05010731,4.2
E05010732,2.8
E05010733,3.4
E05010734,1.9
E05010735,3.5
E05010736,2
E05010737,3.3
E05010738,5.8
E05010739,4.1
E05010740,2.7
E05010741,2.8
E05010742,2.8
E05010743,1.9
E05010744,4
E05010745,2.9
E05010746,2.2
E05010747,5
E05010748,3.7
E05012993,1.9
E05012994,2.2
E05012995,3.2
E05012996,4.2
E05012997,2.2
E05012998,2.6
E05012999,4.6
E05013000,3
E05013001,3.9
E05013002,2.6
E05013003,2.5
E05013004,3.2
E05013005,2.5
E05013006,4.6
E05013007,4.1
E05013008,3.5
E05013009,3.2
E05013010,5.1
E05013011,3.6
E05013012,2.1
E05013013,3
E05013014,2.6
E05013015,2.3
E05013016,2.9
E05013017,2.7
E05010857,4.1
E05010858,2.7
E05010859,2.9
E05010860,5.6
E05010861,5.3
E05010862,8.7
E05010863,3
E05010864,4.9
E05010865,2
E05010866,2.5
E05010867,2
E05010868,4.8
E05010869,3.7
E05010870,4.4
E05010871,2.5
E05010872,2.9
E05010873,5.6
E05010874,3
E05010875,5
E05010876,4.3
E05010877,3.3
E05010878,4.1
E05010879,4.2
E05010880,2.3
E05010881,2.4
E05010882,4.9
E05010883,2.6
E05010884,3.2
E05001341,2
E05001342,2.3
E05001343,2.1
E05001344,4.5
E05001345,6.7
E05001346,5.7
E05001347,8.6
E05001348,4.1
E05001349,1.9
E05001350,4.5
E05001351,5.7
E05001352,5.1
E05001353,2.4
E05001354,2.1
E05001355,5.5
E05001356,3.6
E05001357,3.1
E05001358,7.1
E05001359,6.6
E05001360,2.8
E05001361,3.7
E05001362,3.2
E05001363,3.7
E05001364,6.3
E05001365,5.3
E05001366,2.2
E05001367,4.3
E05001368,4.3
E05001369,2.2
E05001370,3.5
E05001371,2.8
E05001372,2.9
E05001373,2.8
E05001374,2.3
E05001375,2.4
E05001376,3.7
E05001377,2.5
E05001378,1.8
E05001379,4.3
E05001380,6.4
E05001381,2.7
E05001382,2.3
E05001383,2.6
E05001384,3.4
E05001385,3.1
E05001386,4.3
E05001387,3.9
E05001389,4.5
E05001390,4.3
E05001391,3.9
E05001392,2.7
E05001393,2.8
E05001396,4
E05001397,1.7
E05001398,3.7
E05001399,3.9
E05001400,4.7
E05001401,3.3
E05001402,5.2
E05001403,3.1
E05001405,2.2
E05001407,2.5
E05001408,3.1
E05001409,2.3
E05001410,6.9
E05008558,3.2
E05008559,2.4
E05008560,4.4
E05008561,2.1
E05008562,2.6
E05011384,2.4
E05011385,5.9
E05011387,3.9
E05011388,6.9
E05011389,2.4
E05011390,5.3
E05011391,3.2
E05011394,7.3
E05011395,2.1
E05011396,1.8
E05011397,8
E05011399,5.4
E05011400,4.9
E05011401,2.6
E05011402,5.3
E05011403,8.7
E05011404,5
E05011405,2.8
E05011406,2.7
E05011407,2.9
E05011409,2.8
E05011410,2.6
E05011411,3.1
E05011413,3.5
E05011414,2
E05011547,2.6
E05011549,2.6
E05012647,5
E05012648,4.3
E05012841,2.4
E05012842,3
E05013830,2.4
E05013831,3.3
E05001444,2.2
E05001445,3.7
E05001446,2.6
E05001447,2.9
E05001448,2.5
E05001449,3.1
E05001450,3.1
E05001451,2.6
E05001452,2.9
E05001453,3.1
E05001454,2.4
E05001455,2.7
E05001456,2.8
E05001457,2.9
E05001458,2.5
E05001459,4.8
E05001460,4
E05001461,2.1
E05001462,3.2
E05001463,3.9
E05001464,2.4
E05001767,5.1
E05001768,1.9
E05001769,4.9
E05001770,6.3
E05001771,3
E05001772,3.6
E05001773,3.2
E05001774,2.8
E05001775,5.2
E05001776,4.1
E05001777,2.7
E05001778,4.3
E05001779,2
E05001780,5.7
E05001781,2.4
E05001782,4.6
E05001783,2.2
E05010458,4.7
E05010459,3.6
E05010460,4.6
E05010461,3.8
E05010462,4.9
E05010463,8.8
E05010464,4.3
E05010465,4.8
