mnemonic,percent_fuel
E05011028,0.5
E05011029,2.7
E05011030,1.8
E05011031,1.8
E05011032,0.8
E05011033,1.1
E05011034,1.7
E05011035,1.8
E05011036,1.3
E05011037,2
E05011038,1.5
E05011039,1.2
E05011040,1.4
E05011041,0.8
E05011042,1.2
E05011043,2.8
E05011044,1.1
E05011045,1
E05011508,1.5
E05011509,1.6
E05011510,1.2
E05011511,2.7
E05011512,1.2
E05011513,1.4
E05011514,2.4
E05011515,2
E05011516,4.4
E05011517,2.2
E05011518,2.3
E05011519,1.7
E05011520,2.9
E05011521,1.5
E05011522,1.7
E05011523,3
E05011524,6
E05001643,1.7
E05001644,2
E05001645,4.3
E05001646,2.1
E05001647,4.2
E05001648,2
E05001649,1.1
E05001650,3.5
E05001651,1.6
E05001652,2
E05001653,2.4
E05001654,2.3
E05001655,1.2
E05001656,1.3
E05001657,3.4
E05001658,2.2
E05001659,4.5
E05001660,2.6
E05001661,2.6
E05001662,2.2
E05001663,3.5
E05008610,1.3
E05008611,1.5
E05008612,49.1
E05008613,2.7
E05008614,28.7
E05008615,1.1
E05008616,36.1
E05008617,17.8
E05008618,2.6
E05008619,1.7
E05008620,2.6
E05008621,2.4
E05008622,3.3
E05008623,2.3
E05008624,2.7
E05008625,2.6
E05008626,5.3
E05008627,2.5
E05008628,28.3
E05008629,2
E05008630,6
E05008631,16.5
E05008632,1.4
E05008633,1.8
E05008634,2.1
E05008635,2
E05008636,1.6
E05008637,1.5
E05008638,1.3
E05008639,1.3
E05008640,1.7
E05008641,15.7
E05008642,2.1
E05008643,2.2
E05008644,6.9
E05008645,4.2
E05008646,3.8
E05008647,9.6
E05008648,1.6
E05008649,1.7
E05008650,1.3
E05008651,1.7
E05008652,1.9
E05008653,16.8
E05008654,1.8
E05008655,1.6
E05008656,2
E05008657,2.1
E05008658,3.4
E05008659,1.5
E05008660,43.9
E05008661,14.7
E05012209,1.4
E05012210,1.9
E05012211,2.3
E05012212,5.8
E05012213,2.3
E05012214,26
E05012215,2.3
E05012216,7.7
E05012217,1.5
E05012218,1.7
E05012219,1.8
E05012220,2.1
E05012221,1.6
E05012222,1.1
E05012223,2.4
E05012224,24.6
E05012225,11
E05012226,2.6
E05012227,1.2
E05012228,1.5
E05012229,2.1
E05012230,1.8
E05012231,2.5
E05012232,1.4
E05012233,1.6
E05012234,18.2
E05012235,12.1
E05012236,10.8
E05012237,1.1
E05012238,1.8
E05012239,19.9
E05012240,14.4
E05012241,30.4
E05012242,1.2
E05012243,5.4
E05012244,1.4
E05012245,1
E05012246,0.8
E05012247,11.1
E05012248,1.9
E05012249,4.3
E05012250,2.8
E05012251,3.3
E05012252,1.7
E05012253,0.9
E05014171,14.4
E05014175,42.5
E05014181,2.5
E05014182,8.2
E05014186,17
E05014193,2.8
E05014198,9.2
E05014200,4.4
E05014201,3.4
E05014206,1.7
E05014207,2.7
E05014208,3
E05014209,3.3
E05014210,27
E05014212,45.2
E05014215,8.3
E05014222,6
E05014223,3.4
E05014228,1.4
E05014240,5.6
E05014241,3.1
E05014244,3.2
E05014248,3.2
E05014172,2.1
E05014173,1.2
E05014174,1.8
E05014176,13.3
E05014178,3.5
E05014183,22.9
E05014184,2.9
E05014185,16.3
E05014187,2.1
E05014191,2.7
E05014192,2
E05014195,35.3
E05014199,41.9
E05014205,2.6
E05014211,1.9
E05014213,1.6
E05014214,7.5
E05014216,1.5
E05014177,1.9
E05014179,10.3
E05014180,2.1
E05014188,2.4
E05014189,4.1
E05014190,9.1
E05014194,1.5
E05014196,6.2
E05014197,3.3
E05014202,3.6
E05014203,31
E05014204,2.1
E05014217,48
E05014218,24.5
E05014224,29
E05014225,52.6
E05014227,54.5
E05014229,56
E05014237,32.7
E05014242,6.6
E05014243,3.5
E05014219,27.9
E05014220,11.3
E05014221,29.8
E05014226,12.4
E05014230,26.5
E05014231,2.2
E05014232,3.5
E05014233,3.7
E05014234,5.9
E05014235,3
E05014236,6.7
E05014238,17.3
E05014239,18.8
E05014245,22.5
E05014246,3.4
E05014247,18.3
E05014249,7.2
E05005150,2.5
E05005151,2.9
E05005152,1.6
E05005153,4
E05005154,2.3
E05005155,2.5
E05005156,2.3
E05005157,2.6
E05005158,2.5
E05005159,1.4
E05005160,2.6
E05005161,1.8
E05005162,2.3
E05005163,2.6
E05005164,1.4
E05013064,3
E05013065,1.1
E05013066,2.3
E05013067,4.2
E05013068,2.1
E05013069,2.2
E05013070,2.8
E05013071,1.7
E05013072,4.6
E05013073,1.9
E05013074,2.2
E05013075,5.9
E05013076,4.5
E05013077,1.4
E05005185,1.6
E05005186,2.5
E05005187,2.5
E05005188,1.1
E05005189,5.8
E05005190,2.1
E05005191,3.7
E05005192,1.9
E05005193,1.2
E05005194,2.3
E05005195,1.1
E05005196,1.6
E05005197,1.4
E05005198,11.1
E05005199,1.1
E05005200,1.7
E05005201,0.9
E05005202,1.4
E05005203,16.7
E05005204,2.1
E05005205,3.5
E05005206,2.6
E05005207,2.2
E05005208,2.2
E05005209,3.4
E05005210,2.2
E05005211,1.7
E05005212,1.2
E05005213,2.9
E05005214,1.7
E05005215,2.8
E05005216,2.3
E05005217,3.6
E05005218,2.2
E05005219,1.5
E05005220,2.5
E05005221,2.7
E05009592,2.3
E05009593,3.6
E05009594,2.6
E05009595,2.8
E05009596,3.7
E05009597,25.2
E05009598,5.1
E05009599,3.6
E05009600,1.6
E05009601,3
E05009602,1.6
E05009603,3.1
E05009604,15.3
E05009605,16.1
E05009606,1.9
E05009607,6.5
E05009608,3.1
E05009609,1.5
E05009610,3.1
E05009611,9
E05009612,2.9
E05009613,2
E05009614,1
E05009615,34.7
E05009616,22.9
E05009617,6.6
E05009618,2.2
E05013200,5
E05013201,8.3
E05013202,5.7
E05013203,2.9
E05013204,2.7
E05013205,3.1
E05013206,4.1
E05013207,4
E05013208,4
E05013209,2.2
E05013210,3.3
E05013211,2.8
E05012193,2.2
E05012194,1.9
E05012195,1.4
E05012196,3.7
E05012197,2.5
E05012198,3.9
E05012199,1.7
E05012200,1
E05012201,1.9
E05012202,2.4
E05012203,2.9
E05012204,4.7
E05012205,18.4
E05012206,1.5
E05012207,2.3
E05012208,1.5
E05012000,6.7
E05012001,2
E05012002,51
E05012003,6.5
E05012004,10
E05012005,45
E05012006,10.4
E05012007,8
E05012008,4.3
E05012009,7.3
E05012010,2.8
E05012011,42.1
E05012012,42
E05012013,2.4
E05012014,9.1
E05012015,2.1
E05012016,14
E05012017,5.1
E05012018,1.7
E05012019,3
E05012020,16.7
E05012021,13.5
E05012022,2.8
E05012023,4.9
E05012024,3.1
E05012025,5.9
E05005316,1.8
E05005317,3.6
E05005318,2.1
E05005319,1.7
E05005320,1.4
E05005321,2.3
E05005322,1.6
E05005323,1.7
E05005324,1.9
E05005325,1.6
E05005326,1.4
E05005327,3.3
E05005328,3.1
E05005329,3.2
E05010214,1.9
E05010215,2
